10.0.0.0/26,192.168.0.0/24,172.16.0.0/22,10.192.0.0/24,192.168.192.0/18,172.18.0.0/15,10.128.0.0/16,192.168.64.0/20,172.42.0.0/16,10.16.0.0/16,192.168.224.0/19,172.66.0.0/24
10.0.0.1,192.168.0.1,172.16.0.1,10.192.0.1,192.168.192.1,172.18.0.1,10.128.0.1,192.168.64.1,172.42.0.1,10.16.0.1,192.168.224.1,172.66.0.1
10.0.0.2,192.168.0.2,172.16.0.2,10.192.0.2,192.168.192.2,172.18.0.2,10.128.0.2,192.168.64.2,172.42.0.2,10.16.0.2,192.168.224.2,172.66.0.2
10.0.0.3,192.168.0.3,172.16.0.3,10.192.0.3,192.168.192.3,172.18.0.3,10.128.0.3,192.168.64.3,172.42.0.3,10.16.0.3,192.168.224.3,172.66.0.3
10.0.0.4,192.168.0.4,172.16.0.4,10.192.0.4,192.168.192.4,172.18.0.4,10.128.0.4,192.168.64.4,172.42.0.4,10.16.0.4,192.168.224.4,172.66.0.4
10.0.0.5,192.168.0.5,172.16.0.5,10.192.0.5,192.168.192.5,172.18.0.5,10.128.0.5,192.168.64.5,172.42.0.5,10.16.0.5,192.168.224.5,172.66.0.5
10.0.0.52,192.168.0.78,172.16.1.113,10.192.0.225,192.168.223.228,172.19.62.158,10.128.83.122,192.168.68.188,172.42.10.225,10.16.132.104,192.168.242.86,172.66.0.216
10.0.0.10,192.168.0.185,172.16.3.113,10.192.0.96,192.168.193.123,172.19.207.45,10.128.44.122,192.168.66.75,172.42.197.124,10.16.10.19,192.168.238.73,172.66.0.138
10.0.0.45,192.168.0.201,172.16.2.48,10.192.0.153,192.168.220.62,172.19.223.196,10.128.124.100,192.168.66.135,172.42.83.157,10.16.102.253,192.168.236.18,172.66.0.86
10.0.0.46,192.168.0.191,172.16.2.58,10.192.0.150,192.168.241.139,172.18.113.104,10.128.80.58,192.168.77.60,172.42.85.117,10.16.140.237,192.168.237.237,172.66.0.218
10.0.0.17,192.168.0.48,172.16.2.29,10.192.0.15,192.168.240.187,172.19.189.200,10.128.85.41,192.168.74.32,172.42.20.104,10.16.148.151,192.168.229.180,172.66.0.88
10.0.0.42,192.168.0.33,172.16.3.72,10.192.0.155,192.168.240.55,172.19.228.92,10.128.251.154,192.168.78.1,172.42.49.45,10.16.157.139,192.168.251.245,172.66.0.41
10.0.0.40,192.168.0.205,172.16.1.136,10.192.0.76,192.168.246.52,172.18.29.104,10.128.109.189,192.168.76.72,172.42.124.53,10.16.101.86,192.168.240.145,172.66.0.49
10.0.0.49,192.168.0.157,172.16.1.151,10.192.0.143,192.168.254.142,172.19.55.150,10.128.207.41,192.168.73.59,172.42.98.226,10.16.96.9,192.168.231.123,172.66.0.26
10.0.0.41,192.168.0.16,172.16.1.42,10.192.0.144,192.168.215.236,172.19.94.225,10.128.194.248,192.168.65.114,172.42.15.32,10.16.164.140,192.168.248.103,172.66.0.190
10.0.0.12,192.168.0.74,172.16.1.129,10.192.0.40,192.168.253.190,172.18.180.135,10.128.238.123,192.168.69.51,172.42.9.64,10.16.118.47,192.168.241.107,172.66.0.172
10.0.0.22,192.168.0.212,172.16.0.84,10.192.0.62,192.168.221.18,172.19.62.52,10.128.220.248,192.168.79.214,172.42.165.239,10.16.29.230,192.168.254.230,172.66.0.18
10.0.0.7,192.168.0.139,172.16.2.3,10.192.0.129,192.168.221.17,172.19.221.88,10.128.233.246,192.168.79.74,172.42.171.95,10.16.152.250,192.168.250.60,172.66.0.87
10.0.0.37,192.168.0.6,172.16.0.199,10.192.0.211,192.168.221.223,172.19.166.132,10.128.170.233,192.168.69.25,172.42.90.143,,192.168.232.131,172.66.0.67
10.0.0.34,192.168.0.55,172.16.1.217,10.192.0.47,192.168.206.108,172.19.15.186,10.128.141.148,192.168.72.198,172.42.129.31,,192.168.247.153,172.66.0.142
10.0.0.48,192.168.0.144,172.16.2.113,10.192.0.77,192.168.205.53,172.19.150.213,,192.168.74.215,172.42.33.105,,192.168.245.13,172.66.0.115
10.0.0.19,192.168.0.234,172.16.1.71,10.192.0.45,192.168.217.72,172.19.213.231,,192.168.76.47,172.42.6.91,,192.168.224.158,172.66.0.206
10.0.0.20,192.168.0.192,172.16.1.201,10.192.0.43,192.168.240.102,172.19.68.170,,192.168.64.214,172.42.41.237,,192.168.228.90,172.66.0.89
10.0.0.18,192.168.0.190,172.16.1.192,10.192.0.221,192.168.255.80,172.18.151.27,,192.168.71.106,172.42.169.9,,192.168.244.130,172.66.0.109
10.0.0.21,192.168.0.86,172.16.2.92,10.192.0.195,,172.19.37.49,,192.168.70.130,172.42.205.156,,192.168.249.66,172.66.0.189
,192.168.0.100,172.16.3.105,10.192.0.74,,172.19.151.223,,192.168.71.44,172.42.55.129,,192.168.238.192,172.66.0.155
,192.168.0.141,172.16.0.106,10.192.0.56,,172.18.0.230,,192.168.71.102,172.42.28.42,,192.168.255.135,172.66.0.234
,192.168.0.204,172.16.1.118,10.192.0.108,,172.18.167.245,,192.168.74.226,172.42.102.164,,,172.66.0.197
,192.168.0.94,172.16.3.127,10.192.0.63,,172.18.131.194,,192.168.77.4,172.42.46.88,,,172.66.0.7
,192.168.0.57,172.16.3.77,10.192.0.128,,172.19.240.104,,192.168.77.164,172.42.234.62,,,172.66.0.107
,192.168.0.47,172.16.1.254,10.192.0.88,,172.19.196.103,,192.168.69.193,172.42.104.40,,,172.66.0.236
,192.168.0.65,172.16.2.107,10.192.0.190,,172.18.122.123,,,172.42.117.87,,,172.66.0.178
,192.168.0.120,172.16.2.64,,,172.19.171.212,,,172.42.201.145,,,172.66.0.146
,192.168.0.50,172.16.0.34,,,172.18.207.235,,,172.42.166.151,,,172.66.0.125
,192.168.0.134,172.16.0.210,,,172.19.139.250,,,172.42.21.187,,,172.66.0.201
,192.168.0.180,172.16.1.99,,,172.18.157.69,,,172.42.220.169,,,172.66.0.198
,192.168.0.88,172.16.0.95,,,172.19.164.191,,,172.42.168.50,,,172.66.0.76
,192.168.0.105,,,,172.19.121.140,,,172.42.103.30,,,172.66.0.75
,192.168.0.92,,,,172.18.14.190,,,172.42.207.29,,,172.66.0.135
,192.168.0.102,,,,172.18.167.180,,,172.42.6.11,,,172.66.0.69
,192.168.0.228,,,,172.19.119.187,,,172.42.160.96,,,172.66.0.71
,192.168.0.109,,,,172.18.90.15,,,172.42.3.35,,,172.66.0.90
,192.168.0.198,,,,172.19.105.150,,,172.42.53.91,,,172.66.0.74
,192.168.0.76,,,,,,,172.42.193.54,,,172.66.0.141
,,,,,,,,172.42.204.36,,,172.66.0.130
